ID	DatasetID	Ref	Technology	#Experimental	#Control	Stars count	genesStar	detectedStar	degsStar	ratioStar	fcBinsStar	pvalStar	adjpStar	DescrContrast
GSE10667|||IPF_vs_Ctrl	GSE10667	Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis.	Expression profiling by array	21	14	7	1	1	1	1	1	1	1	IPF_vs_Ctrl
GSE110147|||IPF_vs_Ctrl	GSE110147	Comprehensive gene expression profiling identifies distinct and overlapping transcriptional profiles in non-specific interstitial pneumonia and idiopathic pulmonary fibrosis.	Expression profiling by array	22	11	3	1	1	0	0	1	0	0	IPF_vs_Ctrl
GSE21369|||IPF_vs_Ctrl	GSE21369	Systems biology of interstitial lung diseases: integration of mRNA and microRNA expression changes.	Expression profiling by array	11	6	1	0	1	0	0	0	0	0	IPF_vs_Ctrl
GSE24206|||IPF_vs_Ctrl	GSE24206	Bayesian probit regression model for the diagnosis of pulmonary fibrosis: proof-of-principle.	Expression profiling by array	8	6	4	0	1	1	0	0	1	1	IPF_vs_Ctrl
GSE31934|||IPF_vs_Ctrl	GSE31934	-	Expression profiling by array	3	3	2	0	0	0	0	0	1	1	IPF_vs_Ctrl
GSE32537|||IPF_vs_Ctrl	GSE32537	Expression of cilium-associated genes defines novel molecular subtypes of idiopathic pulmonary fibrosis.	Expression profiling by array	115	44	3	1	1	0	1	0	0	0	IPF_vs_Ctrl
GSE47460_A|||IPF_vs_Ctrl	GSE47460_A	Integrative phenotyping framework (iPF): integrative clustering of multiple omics data identifies novel lung disease subphenotypes.	Expression profiling by array	28	15	7	1	1	1	1	1	1	1	IPF_vs_Ctrl
GSE47460_B|||IPF_vs_Ctrl	GSE47460_B	Integrative phenotyping framework (iPF): integrative clustering of multiple omics data identifies novel lung disease subphenotypes.	Expression profiling by array	84	75	3	1	1	0	1	0	0	0	IPF_vs_Ctrl
GSE48149|||IPF_vs_Ctrl	GSE48149	Lung tissues in patients with systemic sclerosis have gene expression patterns unique to pulmonary fibrosis and pulmonary hypertension.	Expression profiling by array	12	5	4	0	0	1	0	1	1	1	IPF_vs_Ctrl
GSE52463|||IPF_vs_Ctrl	GSE52463	Transcriptome analysis reveals differential splicing events in IPF lung tissue.	Expression profiling by high throughput sequencing	6	4	3	0	0	0	1	0	1	1	IPF_vs_Ctrl
GSE53845|||IPF_vs_Ctrl	GSE53845	Heterogeneous gene expression signatures correspond to distinct lung pathologies and biomarkers of disease severity in idiopathic pulmonary fibrosis.	Expression profiling by array	39	7	7	1	1	1	1	1	1	1	IPF_vs_Ctrl
GSE5774|||IPF_vs_Ctrl	GSE5774	Gene expression profiling of familial and sporadic interstitial pneumonia.	Expression profiling by array	13	7	1	0	0	1	0	0	0	0	IPF_vs_Ctrl
GSE72073|||IPF_vs_Ctrl	GSE72073	Down-regulation of USP13 mediates phenotype transformation of fibroblasts in idiopathic pulmonary fibrosis.	Expression profiling by array	4	3	0	0	0	0	0	0	0	0	IPF_vs_Ctrl
GSE83717|||IPF_vs_Ctrl	GSE83717	Identification and validation of differentially expressed transcripts by RNA-sequencing of formalin-fixed, paraffin-embedded (FFPE) lung tissue from patients with Idiopathic Pulmonary Fibrosis.	Expression profiling by high throughput sequencing	6	5	4	0	1	1	1	1	0	0	IPF_vs_Ctrl
GSE92592|||IPF_vs_Ctrl	GSE92592	 Cellular senescence mediates fibrotic pulmonary disease. 	Expression profiling by high throughput sequencing	19	18	2	1	1	0	0	0	0	0	IPF_vs_Ctrl
GSE99621|||IPF_vs_Ctrl	GSE99621	Transcriptomic evidence of immune activation in macroscopically normal-appearing and scarred lung tissues in idiopathic pulmonary fibrosis 	Expression profiling by high throughput sequencing	8	8	5	1	0	1	0	1	1	1	IPF_vs_Ctrl
