ID	DatasetID	Ref	Species	Technology	#Experimental	#Control	Stars count	genesStar	detectedStar	degsStar	ratioStar	fcBinsStar	pvalStar	adjpStar	DescrContrast
GSE100574|||Ctrl/TGFb_vs_Ctrl	GSE100574	Transforming growth factor beta1 targets estrogen receptor signaling in bronchial epithelial cells. 	Homo sapiens	Expression profiling by high throughput sequencing	5	5	3	1	1	0	1	0	0	0	Ctrl/TGFb_vs_Ctrl
GSE10667|||AcuteExacerbation_vs_Ctrl	GSE10667	Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	6	14	7	1	1	1	1	1	1	1	AcuteExacerbation_vs_Ctrl
GSE10667|||AcuteExacerbation_vs_IPF	GSE10667	Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	6	14	3	0	1	0	0	1	0	1	AcuteExacerbation_vs_IPF
GSE10667|||IPF_vs_Ctrl	GSE10667	Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	21	14	7	1	1	1	1	1	1	1	IPF_vs_Ctrl
GSE110147|||IPF_vs_Ctrl	GSE110147	Comprehensive gene expression profiling identifies distinct and overlapping transcriptional profiles in non-specific interstitial pneumonia and idiopathic pulmonary fibrosis.	Homo sapiens	Expression profiling by array	22	11	3	1	1	0	0	1	0	0	IPF_vs_Ctrl
GSE119007|||Ctrl/TGFb_vs_Ctrl	GSE119007	Prostaglandin E2 inhibits profibrotic function of human pulmonary fibroblasts by disrupting Ca2+ signaling.	Homo sapiens	Expression profiling by high throughput sequencing	3	3	4	0	0	1	0	1	1	1	Ctrl/TGFb_vs_Ctrl
GSE119007|||IPF_vs_Ctrl	GSE119007	Prostaglandin E2 inhibits profibrotic function of human pulmonary fibroblasts by disrupting Ca2+ signaling.	Homo sapiens	Expression profiling by high throughput sequencing	3	3	1	0	0	0	1	0	0	0	IPF_vs_Ctrl
GSE15197|||IPF/PH_vs_Ctrl	GSE15197	Genomewide RNA expression profiling in lung identifies distinct signatures in idiopathic pulmonary arterial hypertension and secondary pulmonary hypertension.	Homo sapiens	Expression profiling by array	5	10	6	1	1	1	1	0	1	1	IPF/PH_vs_Ctrl
GSE1724|||Ctrl/TGFb_vs_Ctrl	GSE1724	Gene expression profiling reveals novel TGFbeta targets in adult lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	1	0	0	1	0	0	0	0	Ctrl/TGFb_vs_Ctrl
GSE1724|||IPF_vs_Ctrl	GSE1724	Gene expression profiling reveals novel TGFbeta targets in adult lung fibroblasts.	Homo sapiens	Expression profiling by array	3	3	0	0	0	0	0	0	0	0	IPF_vs_Ctrl
